CHR	HOTSTART	HOTEND	COLDSTART	COLDEND
chr1	  1020077	  1031077	  2173838	  2184838
chr1	  1872838	  1881838	  2082838	  2091838
chr1	  2031838	  2035838	  2080838	  2084838
chr1	  2141838	  2147838	  2105838	  2111838
chr1	  2214838	  2221838	  2175838	  2182838
chr1	  2299838	  2303838	  2191838	  2195838
chr1	  2322838	  2326838	  2175838	  2179838
chr1	  2362838	  2369838	  2100838	  2107838
chr1	  2403838	  2408838	  1057077	  1062077
chr1	  2747843	  2756843	  2841843	  2850843
chr1	  2798843	  2806843	  2734843	  2742843
chr1	  2877843	  2880843	  2970843	  2973843
chr1	  2894843	  2898843	  2851843	  2855843
chr1	  3054843	  3072843	  1039077	  1057077
chr1	  3108843	  3112843	  3184843	  3188843
chr1	  3112843	  3118843	  3183843	  3189843
chr1	  3148843	  3151843	  3133843	  3136843
chr1	  3163843	  3168843	  3182843	  3187843
chr1	  3263843	  3276843	  3433843	  3446843
chr1	  3328843	  3356843	  2086838	  2114838
chr1	  3403843	  3412843	  3368843	  3377843
chr1	  3486843	  3494843	  3369843	  3377843
chr1	  3509843	  3513843	  2197838	  2201838
chr1	  3571843	  3578843	  4068627	  4075627
chr1	  3578843	  3584843	  3558843	  3564843
chr1	  3600843	  3607843	  3443843	  3450843
chr1	  3678843	  3682843	  3808843	  3812843
chr1	  3780843	  3787843	  3659843	  3666843
chr1	  4008627	  4012627	  4126627	  4130627
chr1	  4085627	  4089627	  4075627	  4079627
chr1	  4104627	  4111627	  4217627	  4224627
chr1	  4152627	  4156627	  4209627	  4213627
chr1	  4175627	  4187627	  4206627	  4218627
chr1	  4230627	  4236627	  4197627	  4203627
chr1	  4282627	  4287627	  4267627	  4272627
chr1	  4294627	  4300627	  4261627	  4267627
chr1	  4365627	  4369627	  4575627	  4579627
chr1	  4378627	  4381627	  4576627	  4579627
chr1	  4493627	  4496627	  4447627	  4450627
chr1	  4512627	  4517627	  4213627	  4218627
chr1	  4539627	  4544627	  4327627	  4332627
chr1	  4630627	  4634627	  4604627	  4608627
chr1	  4639627	  4643627	  4948627	  4952627
chr1	  4672627	  4676627	  4038627	  4042627
chr1	  4730627	  4736627	  4825627	  4831627
chr1	  4748627	  4753627	  4827627	  4832627
chr1	  4788627	  4799627	  3550843	  3561843
chr1	  4813627	  4817627	  4825627	  4829627
chr1	  4852627	  4855627	  4955627	  4958627
chr1	  4896627	  4901627	  4958627	  4963627
chr1	  4931627	  4934627	  4910627	  4913627
chr1	  4999627	  5002627	  4965627	  4968627
chr1	  5017627	  5021627	  4971627	  4975627
chr1	  5035627	  5039627	  4957627	  4961627
chr1	  5088627	  5092627	  5055627	  5059627
chr1	  5129627	  5138627	  5286627	  5295627
chr1	  5140627	  5145627	  5196627	  5201627
chr1	  5163627	  5168627	  5240627	  5245627
chr1	  5178627	  5182627	  5199627	  5203627
chr1	  5191627	  5194627	  5280627	  5283627
chr1	  5309627	  5312627	  5331627	  5334627
chr1	  5315627	  5319627	  5381627	  5385627
chr1	  5345627	  5349627	  5337627	  5341627
chr1	  5355627	  5359627	  5611734	  5615734
chr1	  5402627	  5408627	  5481734	  5487734
chr1	  5471734	  5475734	  5553734	  5557734
chr1	  5535734	  5542734	  5497734	  5504734
chr1	  5571734	  5575734	  5498734	  5502734
chr1	  5629734	  5634734	  5609734	  5614734
chr1	  5637734	  5640734	  5650734	  5653734
chr1	  5660734	  5665734	  5756734	  5761734
chr1	  5675734	  5680734	  5696734	  5701734
chr1	  5688734	  5691734	  5714734	  5717734
chr1	  5706734	  5709734	  5560734	  5563734
